Classification Report:
              precision    recall  f1-score   support

         PEB       0.00      0.00      0.00         1
         MYB       0.73      0.91      0.81      2949
         ABE       0.40      0.03      0.06        60
         LYT       0.73      0.73      0.73      1839
         MON       0.96      0.91      0.93      4172
         OTH       0.94      0.91      0.92       882
         MMZ       0.00      0.00      0.00         5
         BAS       0.00      0.00      0.00        62
         FGC       0.00      0.00      0.00         3
         PMO       0.00      0.00      0.00        13
         NGB       0.83      0.90      0.86      3841
         LYI       0.59      0.28      0.38       464
         PLM       0.69      0.59      0.64       601
         KSC       0.65      0.56      0.60      1001
         EBO       0.73      0.55      0.62      1562
         NGS       0.83      0.92      0.87      4258
         EOS       0.69      0.29      0.41       497
         BLA       0.83      0.09      0.16        55
         HAC       0.78      0.60      0.68       411
         NIF       0.82      0.85      0.83      1135
         ART       0.77      0.81      0.79      1917

    accuracy                           0.81     25728
   macro avg       0.57      0.47      0.49     25728
